,App,Price,Rating Count,Rating,Genres,Size (M),Type,New Genres,Price Category
0,PAC-MAN Premium,3.99,21292,4.0,Games,100.8,Paid,Games,$3-4
1,Evernote - stay organized,0.0,161065,4.0,Productivity,158.6,Free,Productivity,Free
2,"WeatherBug - Local Weather, Radar, Maps, Alerts",0.0,188583,3.5,Weather,100.5,Free,Utilities,Free
3,"eBay: Best App to Buy, Sell, Save! Online Shopping",0.0,262241,4.0,Shopping,128.5,Free,Other,Free
4,Bible,0.0,985920,4.5,Reference,92.8,Free,Education,Free
5,Shanghai Mahjong,0.99,8253,4.0,Games,10.5,Paid,Games,<$1
6,PayPal - Send and request money safely,0.0,119487,4.0,Finance,227.8,Free,Utilities,Free
7,Pandora - Music & Radio,0.0,1126879,4.0,Music,130.2,Free,Other,Free
8,PCalc - The Best Calculator,9.99,1117,4.5,Utilities,49.3,Paid,Utilities,$5-10
9,Ms. PAC-MAN,3.99,7885,4.0,Games,70.0,Paid,Games,$3-4
10,Solitaire by MobilityWare,4.99,76720,4.5,Games,49.6,Paid,Games,$4-5
11,SCRABBLE Premium,7.99,105776,3.5,Games,227.5,Paid,Games,$5-10
12,Google – Search made just for mobile,0.0,479440,3.5,Utilities,180.0,Free,Utilities,Free
13,Bank of America - Mobile Banking,0.0,119773,3.5,Finance,160.9,Free,Utilities,Free
14,FreeCell,4.99,6340,4.5,Games,55.2,Paid,Games,$4-5
15,TripAdvisor Hotels Flights Restaurants,0.0,56194,4.0,Travel,207.9,Free,Other,Free
16,Facebook,0.0,2974676,3.5,Social Networking,389.9,Free,Entertainment,Free
17,"Yelp - Nearby Restaurants, Shopping & Services",0.0,223885,4.0,Travel,167.4,Free,Other,Free
18,"Shazam - Discover music, artists, videos & lyrics",0.0,402925,4.0,Music,147.1,Free,Other,Free
19,Crash Bandicoot Nitro Kart 3D,2.99,31456,4.0,Games,10.7,Paid,Games,$1-3
20,iQuran,1.99,2929,4.5,Reference,70.7,Paid,Education,$1-3
21,:) Sudoku +,2.99,11447,5.0,Games,6.2,Paid,Games,$1-3
22,"Yahoo Sports - Teams, Scores, News & Highlights",0.0,137951,4.0,Sports,130.6,Free,Entertainment,Free
23,Mileage Log | Fahrtenbuch,5.99,8,4.5,Business,71.2,Paid,Productivity,$5-10
24,Cleartune - Chromatic Tuner,3.99,3241,4.0,Music,11.4,Paid,Other,$3-4
25,Lifesum – Inspiring healthy lifestyle app,0.0,5795,3.5,Health & Fitness,188.0,Free,Health & Fitness,Free
26,Hangman.,0.0,42316,3.0,Games,4.8,Free,Games,Free
27,iTranslate - Language Translator & Dictionary,0.0,123215,3.5,Productivity,287.9,Free,Productivity,Free
28,TouchOSC,4.99,782,4.0,Music,4.3,Paid,Other,$4-5
29,RadarScope,9.99,3449,4.0,Weather,172.8,Paid,Utilities,$5-10
30,LinkedIn,0.0,71856,3.5,Social Networking,273.8,Free,Entertainment,Free
31,Period Tracker Deluxe,1.99,13350,4.5,Health & Fitness,40.2,Paid,Health & Fitness,$1-3
32,Election 2016 Map,0.99,137,3.0,Entertainment,2.4,Paid,Entertainment,<$1
33,Blackjack by MobilityWare,0.0,180087,3.5,Games,105.4,Free,Games,Free
34,White Noise,0.99,33426,4.0,Health & Fitness,44.1,Paid,Health & Fitness,<$1
35,iHeartRadio – Free Music & Radio Stations,0.0,293228,4.0,Music,116.4,Free,Other,Free
36,Line Rider iRide™,1.99,21609,3.5,Entertainment,1.6,Paid,Entertainment,$1-3
37,Deliveries: a package tracker,4.99,4684,4.0,Utilities,30.0,Paid,Utilities,$4-5
38,Hurricane Pro,2.99,2104,4.5,Weather,29.5,Paid,Utilities,$1-3
39,Fieldrunners,2.99,41633,4.0,Games,66.9,Paid,Games,$1-3
40,Juxtaposer,2.99,3610,4.5,Photo & Video,45.2,Paid,Photo & Video,$1-3
41,Deezer - Listen to your Favorite Music & Playlists,0.0,4677,3.0,Music,127.5,Free,Other,Free
42,iStellar,3.99,30,3.5,Navigation,44.2,Paid,Utilities,$3-4
43,Sonos Controller,0.0,48905,4.5,Music,108.0,Free,Other,Free
44,Avertinoo,4.99,32,3.0,Navigation,8.0,Paid,Utilities,$4-5
45,Google Earth,0.0,446185,3.5,Travel,37.2,Free,Other,Free
46,iFart - The Original Fart Sounds App,1.99,21825,3.0,Entertainment,60.3,Paid,Entertainment,$1-3
47,PAC-MAN,0.0,508808,3.0,Games,100.8,Free,Games,Free
48,FOX Sports Mobile,0.0,57500,3.0,Sports,72.7,Free,Entertainment,Free
49,First Words Animals,1.99,2576,4.0,Games,32.2,Paid,Games,$1-3
50,WeatherPro,1.99,1572,4.0,Weather,69.1,Paid,Utilities,$1-3
51,HotSchedules,2.99,3292,3.0,Business,82.0,Paid,Productivity,$1-3
52,Star Walk - Find Stars And Planets in Sky Above,4.99,8932,4.5,Education,150.2,Paid,Education,$4-5
53,"The Weather Channel: Forecast, Radar & Alerts",0.0,495626,3.5,Weather,199.7,Free,Utilities,Free
54,Big Day - Event Countdown,0.99,812,3.0,Lifestyle,13.2,Paid,Other,<$1
55,12 Steps AA Companion - Alcoholics Anonymous,2.99,1583,3.5,Lifestyle,30.4,Paid,Other,$1-3
56,OpenTable - Restaurant Reservations,0.0,113936,4.5,Food & Drink,93.4,Free,Other,Free
57,VLC Remote,4.99,2027,4.0,Entertainment,31.5,Paid,Entertainment,$4-5
58,gFlashPro - Flashcards & Tests,3.99,768,4.0,Education,26.0,Paid,Education,$3-4
59,Lose It! – Weight Loss Program and Calorie Counter,0.0,373835,4.0,Health & Fitness,182.1,Free,Health & Fitness,Free
60,Target,0.0,108131,3.0,Shopping,138.8,Free,Other,Free
61,Fish Tycoon,0.99,18943,3.5,Games,13.6,Paid,Games,<$1
62,"Amazon App: shop, scan, compare, and read reviews",0.0,126312,3.5,Shopping,133.7,Free,Other,Free
63,Touchgrind,4.99,35735,4.0,Games,55.2,Paid,Games,$4-5
64,ProPresenter Remote,4.99,410,3.0,Utilities,46.9,Paid,Utilities,$4-5
65,iReal Pro - Music Book & Play Along,12.99,1390,4.5,Music,63.3,Paid,Other,$10-20
66,NRJ Radio,0.0,38,3.5,Music,53.4,Free,Other,Free
67,Chase Mobile℠,0.0,233270,4.5,Finance,39.5,Free,Utilities,Free
68,大辞林,21.99,64,4.5,Reference,210.1,Paid,Education,$20-50
69,Allrecipes Dinner Spinner,0.0,109349,3.5,Food & Drink,36.4,Free,Other,Free
70,新浪新闻-阅读最新时事热门头条资讯视频,0.0,2229,3.5,News,115.1,Free,Entertainment,Free
71,MotionX GPS,1.99,14970,3.5,Navigation,56.5,Paid,Utilities,$1-3
72,AccuWeather - Weather for Life,0.0,144214,3.5,Weather,181.9,Free,Utilities,Free
73,"Mint: Personal Finance, Budget, Bills & Money",0.0,232940,4.0,Finance,162.9,Free,Utilities,Free
74,ABC News - US & World News + Live Video,0.0,48407,3.0,News,98.1,Free,Entertainment,Free
75,Rowmote: Remote Control for Mac,0.99,5531,3.5,Utilities,54.1,Paid,Utilities,<$1
76,Peekaboo Barn,1.99,3393,4.0,Education,50.2,Paid,Education,$1-3
77,Speedtest by Ookla,0.0,65016,3.5,Utilities,23.9,Free,Utilities,Free
78,Pocket God,0.99,187529,4.0,Entertainment,145.3,Paid,Entertainment,<$1
79,Nike+ Training Club - Workouts & Fitness Plans,0.0,33969,3.5,Health & Fitness,140.4,Free,Health & Fitness,Free
80,Citi Mobile®,0.0,48822,3.5,Finance,281.2,Free,Utilities,Free
81,Phase 10 Pro - Play Your Friends!,1.99,59155,4.5,Games,66.7,Paid,Games,$1-3
82,"Kindle – Read eBooks, Magazines & Textbooks",0.0,252076,3.5,Book,169.7,Free,Education,Free
83,MASH,1.99,4913,4.0,Games,41.7,Paid,Games,$1-3
84,同花顺-炒股、股票,0.0,1744,3.5,Finance,122.9,Free,Utilities,Free
85,Wedding Dash Deluxe,0.99,16567,4.5,Games,55.8,Paid,Games,<$1
86,Beer Pong Game,0.0,187315,2.0,Games,189.0,Free,Games,Free
87,Tempo - Metronome with Setlists,2.99,4781,4.5,Music,22.2,Paid,Other,$1-3
88,Skat,3.99,94,4.5,Games,66.2,Paid,Games,$3-4
89,Color Splash,0.99,29554,4.0,Photo & Video,28.1,Paid,Photo & Video,<$1
90,Zombieville USA,0.99,32988,4.0,Games,28.0,Paid,Games,<$1
91,Skype for iPhone,0.0,373519,3.5,Social Networking,133.2,Free,Entertainment,Free
92,Tumblr,0.0,334293,4.0,Social Networking,151.6,Free,Entertainment,Free
93,iSwap Faces,1.99,2302,3.5,Photo & Video,27.1,Paid,Photo & Video,$1-3
94,Match™ - #1 Dating App.,0.0,60659,3.0,Social Networking,101.3,Free,Entertainment,Free
95,Tozzle - Toddler's favorite puzzle,2.99,2562,4.0,Games,168.2,Paid,Games,$1-3
96,HomeBudget with Sync,4.99,3042,3.5,Finance,17.5,Paid,Utilities,$4-5
97,Wind Meter,0.99,338,2.5,Weather,5.2,Paid,Utilities,<$1
